day eternity:1600 replacement_initial_a:0.04 replacement_final_a:0 number_of_contact_events_per_day_a:5 pre_active_state_duration_1:2 pre_active_state_duration_2:2 active_state_duration_1:3 active_state_duration_2:3 transmission_probability_1_a:0.14 transmission_probability_2_a:0.25 days before configuration switch: 2000 number_of_contact_events_per_day_b:3 replacement_initial_b:0.04 replacement_final_b:0 transmission_probability_1_b:0.14 transmission_probability_2_b:0.15 transformation_period:1;
 day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2;
213;0.0181005;0.547639;0.0463028;0.0181005;0;0;0;0.0405862;0.0405862;0;
214;0.0180853;0.547648;0.0462638;0.0180853;0;0;0;0.0405862;0.0405862;0;
215;0.0180704;0.547672;0.0462244;0.0180704;0;0;0;0.0405862;0.0405862;0;
216;0.0180558;0.547709;0.0461849;0.0180558;0;0;0;0.0405862;0.0405862;0;
217;0.0180418;0.547759;0.0461456;0.0180418;0;0;0;0.0405862;0.0405862;0;
218;0.0180284;0.54782;0.0461069;0.0180284;0;0;0;0.0405862;0.0405862;0;
219;0.0180156;0.547892;0.0460689;0.0180156;0;0;0;0.0405862;0.0405862;0;
220;0.0180036;0.547972;0.046032;0.0180036;0;0;0;0.0405862;0.0405862;0;
221;0.0179923;0.548061;0.0459964;0.0179923;0;0;0;0.0405862;0.0405862;0;
222;0.0179818;0.548157;0.0459622;0.0179818;0;0;0;0.0405862;0.0405862;0;
223;0.0179722;0.548259;0.0459298;0.0179722;0;0;0;0.0405862;0.0405862;0;
224;0.0179634;0.548365;0.0458991;0.0179634;0;0;0;0.0405862;0.0405862;0;
225;0.0179556;0.548475;0.0458704;0.0179556;0;0;0;0.0405862;0.0405862;0;
226;0.0179486;0.548587;0.0458438;0.0179486;0;0;0;0.0405862;0.0405862;0;
227;0.0179426;0.548701;0.0458194;0.0179426;0;0;0;0.0405862;0.0405862;0;
228;0.0179375;0.548815;0.0457971;0.0179375;0;0;0;0.0405862;0.0405862;0;
229;0.0179332;0.54893;0.0457772;0.0179332;0;0;0;0.0405862;0.0405862;0;
230;0.0179299;0.549043;0.0457596;0.0179299;0;0;0;0.0405862;0.0405862;0;
231;0.0179274;0.549153;0.0457442;0.0179274;0;0;0;0.0405862;0.0405862;0;
232;0.0179257;0.549262;0.0457312;0.0179257;0;0;0;0.0405862;0.0405862;0;
233;0.0179248;0.549366;0.0457205;0.0179248;0;0;0;0.0405862;0.0405862;0;
234;0.0179247;0.549467;0.045712;0.0179247;0;0;0;0.0405862;0.0405862;0;
235;0.0179253;0.549563;0.0457056;0.0179253;0;0;0;0.0405862;0.0405862;0;
236;0.0179266;0.549654;0.0457014;0.0179266;0;0;0;0.0405862;0.0405862;0;
237;0.0179285;0.549739;0.0456992;0.0179285;0;0;0;0.0405862;0.0405862;0;
238;0.017931;0.549819;0.0456989;0.017931;0;0;0;0.0405862;0.0405862;0;
239;0.017934;0.549892;0.0457004;0.017934;0;0;0;0.0405862;0.0405862;0;
